establecimiento_nombre,localidad_nombre,provincia_nombre,departamento_nombre
C.A.P.S. 189 COLONIA LAMBARE - SAN MARTIN,MONTECASEROS,MENDOZA,SAN MARTÍN
C.A.P.S. 209 ELIAS YAMIN - SAN MARTIN,MONTECASEROS,MENDOZA,SAN MARTÍN
C.A.P.S. 087 FELIX FERNANDEZ.-,NUEVA CALIFORNIA,MENDOZA,SAN MARTÍN
C.A.P.S. 207  VILLA ADELA.-,PALMIRA,MENDOZA,SAN MARTÍN
C.A.P.S. 076 ANGEL PERSICO.-,PALMIRA,MENDOZA,SAN MARTÍN
C.A.P.S. 190 RIO MENDOZA - SAN MARTIN,PALMIRA,MENDOZA,SAN MARTÍN
C.A.P.S. 195 ENRIQUE ALVAREZ.-,PALMIRA,MENDOZA,SAN MARTÍN
C.I.C 910 PALMIRA.-,PALMIRA,MENDOZA,SAN MARTÍN
CONSULTORIO DR. NAVARRO,PALMIRA,MENDOZA,SAN MARTÍN
CHIAMBRETTO PEDIATRIA.-,PALMIRA,MENDOZA,SAN MARTÍN
PEREZ CONSULTORIOS MEDICOS.-,PALMIRA,MENDOZA,SAN MARTÍN
"ALVAREZ, J. BIOQUIMICA.-",PALMIRA,MENDOZA,SAN MARTÍN
SANTA LUCIA HOGAR GERIATRICO,PALMIRA,MENDOZA,SAN MARTÍN
LA TABAIDA HOGAR GERIATRICO - SAN MARTIN,PALMIRA,MENDOZA,SAN MARTÍN
RESIDENCIA GERIATRICA PRIVADA FAMILY HOGAR.-,PALMIRA,MENDOZA,SAN MARTÍN
GARIBALDI BIOQUIMICA.-,PALMIRA,MENDOZA,SAN MARTÍN
O.S.E.P. SUBDELEGACION PALMIRA - SAN MARTIN,PALMIRA,MENDOZA,SAN MARTÍN
C.P.A.A. SAN MARTIN.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO INFANTO JUVENIL Nº 5 SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
C.A.P.S. 242 ISMAEL YURI.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
C.A.P.S. 167 EL DIVISADERO,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
VACUNATORIO ZONAL.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
C.A.P.S. 082 BUEN ORDEN - SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
C.A.P.S. 552 POSTA SANITARIA EL ESPINO - SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
C.A.P.S. 080 RAMBLON NORTE - SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
HOSPITAL ALFREDO I. PERRUPATO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
C.A.P.S. 050 HILDA TONINI.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO OFTALMOLOGICO DE CUYO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO APARATO DIGESTIVO (C.A.D.).-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
INSTITUTO PRIVADO DE ESPECIALIDADES ODONTOLOGICAS.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CLINICA DEL RIÑON.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CHADE ODONTOLOGIA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
LEGA LABORATORIO DE ANATOMIA PATOLOGICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
RECREARTE C.E.T.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
HABILITAR ATENCION INTEGRAL EN REHABILITACION.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
BAIGORRIA BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
RODRIGUEZ CENTRO PRIVADO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SANATORIO ARGENTINO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
BAYLEN BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
APRENDAMOS A VIVIR S.A.,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
INSTITUTO OFTALMOLOGICO OF.D.A. (OFTALMOLOGIA DE AVANZADA).-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO CLINIC TRAUMATOLOGIA Y REHABILITACION.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
DIGEST DIAGNOSTICO GASTROENTEROLOGICO DEL ESTE.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SANITAS INTERNACION DOMICILIARIA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CONSULTORIOS MEDICOS,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
DULONG CONSULTORIO MEDICO,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CONSULTORIO DE KINESIOLOGIA DERIMAIS,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO DE REHABILITACION LA TEBAIDA,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CONSULTORIO DR. SALOMON,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
HOGAR DE INTEGRACION SOCIAL DEL DISCAPACITADO MENTAL.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CABEZAS ODONTOLOGIA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CORPORACION MEDICA DEL ESTE,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SCERBO LABORATORIO OPTICO,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
MARTIN ODONTOLOGIA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
INSTITUTO MEDICO CORICA,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
DUPANS ESTETICA DENTAL.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
BATTOCCHIA CONSULTORIO OFTALMOLOGICO INTEGRAL,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO DE MEDICINA LABORAL.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ECOMEDICA IMAGENES.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
INSTITUTO RADIOLOGICO DR. ARAOZ,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO MEDICO FYGO,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
A MANO SANATORIO PRIVADO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
PLENIA ALTA MEDICINA ESTETICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
VIROLAB ANALISIS CLINICOS.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
DOMINIO PLAZA CENTRO MEDICO - SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
HOGAR DE INTEGRACION SOCIAL DEL DISCAPACITADO MENTAL.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
LOS ANDES DIAGNOSTICO POR IMAGENES.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
FELICI CENTRO DE DIAGNOSTICO,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
BIOLABORATORIO DEL ESTE.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
NEOVISION CENTRO OFTALMOLOGICO - SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
"CASTILLO, A. ODONTOLOGIA.-",CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
COBIME EMERGENCIAS MEDICAS.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
IMAGEN DIAGNOSTICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CLINICA DE LA RODILLA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
TRAUMATOLOGIA DEL ESTE.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SAN MARTIN CENTRO DE DIAGNOSTICO POR IMAGENES.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO ARJE ESPECIALIDADES DE LA SALUD.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ASISTIR CENTRO MEDICO SAN MARTIN.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SERVICIOS INTEGRALES MEDICOS.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
A MANO EMERGENCIAS.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
UN REMANSO EN MI VIDA HOGAR GERIATRICO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
UN REMANSO EN MI VIDA I.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
HOSTAL DE LOS ABUELOS HOGAR GERIATRICO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
LA CASITA DE LOS ABUELOS HOGAR GERIATRICO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
TRINIDAD HOGAR GERIATRICO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
FYGO FERTILIDAD Y GINECO-OBSTETRICIA,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO DE DIALISIS DEL ESTE.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
INSTITUTO DE NEUROLOGIA,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
"MOLINA, C. TOCOGINECOLOGIA.-",CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ARISTIMUÑO BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SAR SAR BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
TAICHURE BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ZAMBRANA BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CIPPI ZONA ESTE.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
MORCOS BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
POLIDORI BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
GRUCCI BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
INSTITUTO SANTANA BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
TORASSI BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
BUCHACRA MUSRI BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CESTINO BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
DAPAS BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ESPOSITO INSTITUTO BIOQUIMICO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ESPURI BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
"GIMENEZ, L. BIOQUIMICA.-",CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
MARCOS BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
AGNESI BIOQUIMICA.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CLINICA DULONG.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
SANATORIO ARGENTINO,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CLINICA LUQUE.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CLINICA ATENEO.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
O.S.P.A.V. DELEGACION SAN MARTIN.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
O.S.E.P. DELEGACION SAN MARTIN - SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO MEDICO OS. UNION TRAB GASTRON. - DELEG SAN MARTIN UTHGRA,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
CENTRO MEDICO ISSARA - AGENCIA SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
OBRA SOCIAL DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR (S.M.A.T.A.) SAN MARTIN,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
ASOCIACION MUTUAL SONRISAS Y ESPERANZAS AL NIÑO ESPECIAL MUSONYES,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
FUNDACION LIBERTAD.-,CIUDAD DE SAN MARTIN,MENDOZA,SAN MARTÍN
PUESTO SANITARIO MOQUEHUE,MOQUEHUE,NEUQUÉN,ALUMINÉ
CENTRO DE SALUD VILLA PEHUENIA,VILLA PEHUENIA,NEUQUÉN,ALUMINÉ
CONSULTORIO ODONTOLOGICO PEHUENIA,VILLA PEHUENIA,NEUQUÉN,ALUMINÉ
CENTRO DE SALUD LA MESETA,AÑELO,NEUQUÉN,AÑELO
HOSPITAL DE AÑELO,AÑELO,NEUQUÉN,AÑELO
SANTA CRUZ O Y G,AÑELO,NEUQUÉN,AÑELO
SERVICIO DE AMBULANCIAS EMERGENCIAS S.R.L.,AÑELO,NEUQUÉN,AÑELO
CONSULTORIO KINESIOLOGICA  CKYF,AÑELO,NEUQUÉN,AÑELO
CONSULTORIO MEDICO BASE TRANSPORTES CREXELL,AÑELO,NEUQUÉN,AÑELO
HOSPITAL SAN PATRICIO DEL CHAÑAR,SAN PATRICIO DEL CHAÑAR,NEUQUÉN,AÑELO
CONSULTORIO ODONTOLOGICO DRA. SALAMANCA,SAN PATRICIO DEL CHAÑAR,NEUQUÉN,AÑELO
CONSULTORIOS SAN PATRICIO,SAN PATRICIO DEL CHAÑAR,NEUQUÉN,AÑELO
LABORATORIO ANALISIS CLINICOS BIOQUIMICA SGRO,SAN PATRICIO DEL CHAÑAR,NEUQUÉN,AÑELO
CONSULTORIOS IMI,SAN PATRICIO DEL CHAÑAR,NEUQUÉN,AÑELO
CONSULTORIO ODONTOLOGICO DR. DURBANO,SAN PATRICIO DEL CHAÑAR,NEUQUÉN,AÑELO
PUESTO SANITARIO COSTA DEL CATAN LIL,CATAN LIL,NEUQUÉN,CATÁN LIL
PUESTO SANITARIO CAICHIHUE,CATAN LIL,NEUQUÉN,CATÁN LIL
PUESTO SANITARIO EL SALITRAL,CATAN LIL,NEUQUÉN,CATÁN LIL
PUESTO SANITARIO LAS CORTADERAS,LAS CORTADERAS,NEUQUÉN,CATÁN LIL
HOSPITAL LAS COLORADAS - DR. CARLOS POTENTE,LAS COLORADAS,NEUQUÉN,CATÁN LIL
PUESTO SANITARIO SAÑICO,PIEDRA PINTADA,NEUQUÉN,COLLÓN CURÁ
HOSPITAL PIEDRA DEL AGUILA,PIEDRA DEL AGUILA,NEUQUÉN,COLLÓN CURÁ
CONSULTORIOS DE MEDICINA GENERAL Y FAMILIAR,PIEDRA DEL AGUILA,NEUQUÉN,COLLÓN CURÁ
CONSULTORIOS MAS SALUD,PIEDRA DEL AGUILA,NEUQUÉN,COLLÓN CURÁ
CONSULTORIOS DE MEDICINA GENERAL FAMILIAR,PIEDRA DEL AGUILA,NEUQUÉN,COLLÓN CURÁ
C.A.P.S. 198 FERMIN CARRIZO.-,LA ARBOLEDA,MENDOZA,TUPUNGATO
AREA DEPARTAMENTAL DE SALUD TUPUNGATO.-,SAN JOSE,MENDOZA,TUPUNGATO
C.A.P.S. 092 SAN JOSE.-,SAN JOSE,MENDOZA,TUPUNGATO
CENTRO INFANTO JUVENIL Nº 9 TUPUNGATO,TUPUNGATO,MENDOZA,TUPUNGATO
HOSPITAL GREGORIO LAS HERAS.-,TUPUNGATO,MENDOZA,TUPUNGATO
ROBLES ODONTOLOGIA.-,TUPUNGATO,MENDOZA,TUPUNGATO
"BUSTOS, O. MEDICINA GENERAL.-",TUPUNGATO,MENDOZA,TUPUNGATO
GRUPO MEDICO DE AVANZADA (G.M.A.).-,TUPUNGATO,MENDOZA,TUPUNGATO
"LOPEZ, M. ODONTOLOGIA.-",TUPUNGATO,MENDOZA,TUPUNGATO
BLANCO ODONTOLOGIA.-,TUPUNGATO,MENDOZA,TUPUNGATO
CENTRO DE REHABILITACION CARIM,TUPUNGATO,MENDOZA,TUPUNGATO
OFTALMOLOGIA TUPUNGATO,TUPUNGATO,MENDOZA,TUPUNGATO
ASISTIR CENTRO MEDICO TUPUNGATO.-,TUPUNGATO,MENDOZA,TUPUNGATO
SANAR INSTITUTO ODONTOLOGICO SUCURSAL Nº 9,TUPUNGATO,MENDOZA,TUPUNGATO
BIOLABORATORIO ALCAIDE Y BERDUCCI.-,TUPUNGATO,MENDOZA,TUPUNGATO
CORDERO BIOQUIMICA.-,TUPUNGATO,MENDOZA,TUPUNGATO
"CASTILLO, D. BIOQUIMICA.-",TUPUNGATO,MENDOZA,TUPUNGATO
O.S.E.P. SUBDELEGACION TUPUNGATO.-,TUPUNGATO,MENDOZA,TUPUNGATO
POSTA SANITARIA 551 DORA ZONANA DE CARRIZO.-,VILLA BASTIAS,MENDOZA,TUPUNGATO
VACUNATORIO HOSPITAL DR. BERNARDO ALLASSIA - APOSTOLES,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. BARRIO CHAQUITO,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. BARRIO ESTACION,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. PERIFERICO Nº 1 APOSTOLES,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. BARRIO RURAL,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. SANTA BARBARA,APOSTOLES,MISIONES,APÓSTOLES
HOSPITAL NIVEL II DE APOSTOLES,APOSTOLES,MISIONES,APÓSTOLES
C.I.C. BARRIO 200 VIVIENDAS,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. ANDRESITO,APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. 9 DE NOVIEMBRE,APOSTOLES,MISIONES,APÓSTOLES
C.I.C. LOMAS DEL MIRADOR,APOSTOLES,MISIONES,APÓSTOLES
CLINICA DIA S.R.L,APOSTOLES,MISIONES,APÓSTOLES
LABORATORIO ANALISIS CLINICOS LLAMOSAS ANGEL ROBERTO,APOSTOLES,MISIONES,APÓSTOLES
LABORATORIO ANALISIS CLINICOS FRICK AMALIA CRISTINA,APOSTOLES,MISIONES,APÓSTOLES
LABORATORIO DE ANALISIS CLINICOS SCHALLER ROGELIO HUMBERTO,APOSTOLES,MISIONES,APÓSTOLES
"LABORATORIO DE ANALISIS CLINICOS HUSULAK, ELIZABETH EUGENIA",APOSTOLES,MISIONES,APÓSTOLES
LABORATORIO DE ANALISIS CLINICOS GADEA JUAN PABLO,APOSTOLES,MISIONES,APÓSTOLES
OPTICA MUNDO APOSTOLES,APOSTOLES,MISIONES,APÓSTOLES
OPTICA IVAN HUSULAK,APOSTOLES,MISIONES,APÓSTOLES
OPTICA COSMOS,APOSTOLES,MISIONES,APÓSTOLES
HOGAR DE ANCIANOS - MELVIN JONNES,APOSTOLES,MISIONES,APÓSTOLES
CLINICA SEMAP (EX AMA),APOSTOLES,MISIONES,APÓSTOLES
C.A.P.S. MONTE HERMOSO II,AZARA,MISIONES,APÓSTOLES
C.A.P.S. AZARA,AZARA,MISIONES,APÓSTOLES
C.A.P.S. PUERTO AZARA,AZARA,MISIONES,APÓSTOLES
C.I.C. AZARA,AZARA,MISIONES,APÓSTOLES
PUESTO SANITARIO LILEO (POR REMEDIAR),ANDACOLLO,NEUQUÉN,MINAS
PUESTO SANITARIO LOS CHACAYES (POR REMEDIAR),ANDACOLLO,NEUQUÉN,MINAS
PUESTO SANITARIO TIERRAS BLANCAS (POR REMEDIAR),ANDACOLLO,NEUQUÉN,MINAS
PUESTO SANITARIO GUAÑACOS (POR REMEDIAR),ANDACOLLO,NEUQUÉN,MINAS
PUESTO SANITARIO LOS CARRIZOS (POR REMEDIAR),ANDACOLLO,NEUQUÉN,MINAS
PUESTO SANITARIO CAYANTA (POR REMEDIAR),ANDACOLLO,NEUQUÉN,MINAS
HOSPITAL ANDACOLLO - DR. ANTONIO GORGNI,ANDACOLLO,NEUQUÉN,MINAS
CONSULTORIOS DRA. MONTES,ANDACOLLO,NEUQUÉN,MINAS
CONSULTORIOS MEDICOS DE LA DRA. ANA MONTES,ANDACOLLO,NEUQUÉN,MINAS
CENTRO DE SALUD HUINGANCO,HUINGANCO,NEUQUÉN,MINAS
CENTRO DE SALUD MANZANO AMARGO,LAS OVEJAS,NEUQUÉN,MINAS
HOSPITAL LAS OVEJAS,LAS OVEJAS,NEUQUÉN,MINAS
PUESTO SANITARIO LOS MICHES (POR REMEDIAR),LOS MICHES,NEUQUÉN,MINAS
CENTRO DE SALUD VARVARCO,VARVARCO,NEUQUÉN,MINAS
PUESTO SANITARIO COLIPILLI,COLIPILLI ABAJO,NEUQUÉN,ÑORQUÍN
PUESTO SANITARIO COLIPILLI ARRIBA,COLIPILLI ABAJO,NEUQUÉN,ÑORQUÍN
CENTRO DE SALUD CAVIAHUE,CAVIAHUE,NEUQUÉN,ÑORQUÍN
PUESTO SANITARIO PORTEZUELO (POR REMEDIAR),CAVIAHUE,NEUQUÉN,ÑORQUÍN
PUESTO SANITARIO CAJON DEL MANZANO (POR REMEDIAR),CAVIAHUE,NEUQUÉN,ÑORQUÍN
HOSPITAL EL CHOLAR,EL CHOLAR,NEUQUÉN,ÑORQUÍN
CONSULTORIO MG,EL CHOLAR,NEUQUÉN,ÑORQUÍN
HOSPITAL EL HUECU,EL HUECU,NEUQUÉN,ÑORQUÍN
PUESTO SANITARIO SAN MARTIN,QUEBRADA DE ESCOIPE,SALTA,CHICOANA
PUESTO SANITARIO MONTE CARMELO,MONTE CARMELO,SALTA,RIVADAVIA
HOSPITAL DR. ALFREDO RIZO ESPARZA,VILLA EL SALVADOR,SAN JUAN,ANGACO
CAPS CAMPO DE BATALLA,VILLA EL SALVADOR,SAN JUAN,ANGACO
CENTRO EDUCATIVO TERAPEUTICO CASITA AMARILLA - MODALIDADES JORNADA SIMPLE Y JORNADA COMPLETA,VILLA EL SALVADOR,SAN JUAN,ANGACO
CENTRO DE DIA BELEN DE LA FRONTERA S.R.L.,VILLA EL SALVADOR,SAN JUAN,ANGACO
CONSULTORIO ODONTOLOGICO MONARDEZ,BARREAL,SAN JUAN,CALINGASTA
LABORATORIO DE ANALISIS CLINICOS GOMEZ,BARREAL,SAN JUAN,CALINGASTA
HOSPITAL  DR. ALDO  CANTONI,CALINGASTA,SAN JUAN,CALINGASTA
CAPS PUCHUZUN,CALINGASTA,SAN JUAN,CALINGASTA
CAPS VILLA NUEVA,CALINGASTA,SAN JUAN,CALINGASTA
CENTRO MEDICO MORALES,CALINGASTA,SAN JUAN,CALINGASTA
CONSULTORIO DE ENFERMERIA Y PRIMEROS AUXILIOS DE TROY RESOURCES ARGENTINA LTD,CALINGASTA,SAN JUAN,CALINGASTA
ESCUADRON 26 BARREAL,CALINGASTA,SAN JUAN,CALINGASTA
CAPS TAMBERIAS,TAMBERIAS,SAN JUAN,CALINGASTA
UGL XXI - SAN JUAN,SAN JUAN,SAN JUAN,CAPITAL
CENTRO EDUCATIVO TERAPEUTICO AURORA PEREZ,SAN JUAN,SAN JUAN,CAPITAL
LABORATORIO QUIMICO TOXICOLOGICO,SAN JUAN,SAN JUAN,CAPITAL
SALA DE PRIMEROS AUXILIOS DEL CENTRO CIVICO,SAN JUAN,SAN JUAN,CAPITAL
INSTITUTO PROVINCIAL DE HEMOTERAPIA (IPHEM),SAN JUAN,SAN JUAN,CAPITAL
VACUNATORIO PROVINCIAL,SAN JUAN,SAN JUAN,CAPITAL
CENTRO POR LA VIDA,SAN JUAN,SAN JUAN,CAPITAL
UNIDADES SANITARIAS MOVILES,SAN JUAN,SAN JUAN,CAPITAL
CAPS LAS MARGARITAS,SAN JUAN,SAN JUAN,CAPITAL
INSTITUTO ODONTOLOGICO DR. CAYETANO TORCIVIA,SAN JUAN,SAN JUAN,CAPITAL
HOSPITAL PUBLICO DE GESTION DESCENTRALIZADA DR. GUILLERMO RAWSON,SAN JUAN,SAN JUAN,CAPITAL
CAPS COMANDANTE CABOT,SAN JUAN,SAN JUAN,CAPITAL
CAPS DR. ALFONSO BARASSI,SAN JUAN,SAN JUAN,CAPITAL
VACUNATORIO Y EQUIPO DE PROMOCION DE LA SALUD DE LA MUNICIPALIDAD DE LA CAPITAL,SAN JUAN,SAN JUAN,CAPITAL
LABORATORIO DE LA MUNICIPALIDAD DE LA CAPITAL,SAN JUAN,SAN JUAN,CAPITAL
CENTRO INTEGRADOR COMUNITARIO (C.I.C.) - CAPITAL,SAN JUAN,SAN JUAN,CAPITAL
LABORATORIO DE ANALISIS CLINICOS BENELBAZ,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIO MEDICO DE ATENCION AMBULATORIA ESPECIALIZADO EN CIRUGIA PLASTICA CORTINEZ DI PIAZZA,SAN JUAN,SAN JUAN,CAPITAL
CENTRO DE REHABILITACION INTEGRAL PROTEO - MODULO DE REHABILITACION SIMPLE Y COMPLEJO,SAN JUAN,SAN JUAN,CAPITAL
FUNDACION MEDIAR,SAN JUAN,SAN JUAN,CAPITAL
SAN JUAN INTERNACION DOMICILIARIA,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIOS MEDICOS CLINICA MIRA SA,SAN JUAN,SAN JUAN,CAPITAL
RESIDENCIA GERIATRICA HOGAR SAN FRANCISCO,SAN JUAN,SAN JUAN,CAPITAL
SERVICIO DE INTERNACION DOMICILIARIA NOVA SALUD SRL - CARE MD,SAN JUAN,SAN JUAN,CAPITAL
GERIATRICO CARICIAS DEL ALMA,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIO DE PSICOLOGIA MONSERRAT,SAN JUAN,SAN JUAN,CAPITAL
RED DE SEGURO MEDICO SRL,SAN JUAN,SAN JUAN,CAPITAL
IMAX IMAGENES DIAGNOSTICAS,SAN JUAN,SAN JUAN,CAPITAL
SANATORIO SAN JUAN,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIO ODONTOLOGICO CASADIO,SAN JUAN,SAN JUAN,CAPITAL
CLINICA ODONTOLOGICA CORAZON DE JESUS,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIOS DE DERMATOLOGIA PRODERMA CONSULTORIOS,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIOS DE ATENCION AMBULATORIA HERRERO MONSERRAT,SAN JUAN,SAN JUAN,CAPITAL
LABORATORIO DE ANATOMIA PATOLOGICA PELLICER,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIO MEDICO DE ATENCION AMBULATORIA ESPECIELIZADO EN DERMATOLOGIA,SAN JUAN,SAN JUAN,CAPITAL
CONSULTORIOS EXTERNOS Y GERENCIA DE SANATORIO ARGENTINO,SAN JUAN,SAN JUAN,CAPITAL
